站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58921,20251226160400,15.3,1012.2,1,88,12.7,0.9,10021.5
58926,20251226160400,27.5,1017.8,24,296,11.8,1.5,10229.3
58927,20251226160400,34.9,1022.5,42,348,6.8,0.3,10143.2
58931,20251226160400,23.5,1002.5,63,144,9.0,0.0,10346.7
58933,20251226160400,9.1,1015.8,8,175,0.0,0.9,10376.2
58936,20251226160400,27.9,1020.7,85,324,1.5,0.7,10358.2
58944,20251226160400,23.3,1008.6,54,162,0.9,0.4,10272.6
59113,20251226160400,17.7,1024.7,25,4,9.9,1.3,10291.8
59126,20251226160400,9.2,1016.4,2,293,10.9,1.4,10225.1
59133,20251226160400,0.9,1023.9,81,288,0.2,0.0,10051.8
59134,20251226160400,31.7,1008.8,90,233,12.1,0.0,10358.8
59321,20251226160400,8.2,1024.6,19,199,6.6,1.2,10233.8
52323,20251226160400,31.7,1008.0,64,129,3.6,1.5,10208.0
52418,20251226160400,14.5,1013.2,12,126,3.8,0.7,10332.6
52424,20251226160400,24.0,1017.2,95,200,5.2,0.5,10296.6
52436,20251226160400,22.3,1025.0,19,266,0.4,1.5,10312.1
52446,20251226160400,7.2,1015.3,11,99,8.1,0.6,10033.7
52447,20251226160400,26.7,1020.1,14,285,2.0,0.7,10127.5
52533,20251226160400,11.0,1021.6,66,301,3.3,1.4,10447.1
52546,20251226160400,23.5,1000.2,75,199,14.9,1.0,10428.2
52652,20251226160400,15.5,1004.7,28,297,12.1,0.8,10430.0
52661,20251226160400,25.4,1008.4,29,333,6.7,0.6,10436.8
52674,20251226160400,28.7,1021.7,56,227,8.4,0.8,10171.4
52679,20251226160400,31.7,1018.8,67,293,5.7,0.3,10310.3
52681,20251226160400,5.8,1013.1,76,104,9.5,1.5,10124.7
52787,20251226160400,26.8,1013.1,66,222,1.5,0.0,10143.5
52797,20251226160400,8.2,1001.4,77,221,13.2,0.4,10020.7
52884,20251226160400,26.6,1009.1,12,265,12.4,0.7,10126.6
52895,20251226160400,33.3,1002.9,87,251,1.2,0.7,10312.5
52983,20251226160400,0.8,1014.9,3,308,11.0,1.1,10328.8
52984,20251226160400,12.6,1004.5,11,20,13.4,0.5,10212.7
52986,20251226160400,16.8,1010.9,96,174,11.5,1.2,10435.5
52996,20251226160400,4.1,1009.1,80,194,5.8,0.9,10440.3
53821,20251226160400,17.0,1021.1,93,230,6.5,0.6,10110.0
53915,20251226160400,32.6,1024.9,80,234,13.1,0.5,10152.9
53923,20251226160400,16.8,1020.6,33,126,3.0,0.3,10361.0
56074,20251226160400,29.5,1018.5,47,278,11.3,0.3,10302.5
56080,20251226160400,27.1,1003.7,19,32,2.9,0.7,10496.1
56093,20251226160400,4.4,1013.9,9,90,2.8,0.7,10071.2
56096,20251226160400,26.0,1012.6,51,148,10.3,1.1,10468.7
57014,20251226160400,33.5,1026.3,10,151,4.5,0.4,10493.6
57996,20251226160400,0.8,1005.8,32,300,11.0,1.2,10408.6
59072,20251226160400,19.1,1019.4,14,158,1.8,1.2,10432.3
59082,20251226160400,19.8,1006.1,95,18,9.0,0.0,10428.6
59087,20251226160400,24.5,1022.8,99,130,7.8,0.8,10497.1
59088,20251226160400,12.3,1025.2,73,124,6.5,0.5,10395.5
59096,20251226160400,32.7,1018.1,64,291,7.0,0.6,10412.4
59097,20251226160400,24.0,1008.6,37,170,5.8,0.6,10415.6
59107,20251226160400,25.0,1012.8,59,205,1.4,1.2,10378.2
59116,20251226160400,4.2,1015.6,49,358,11.8,0.0,10337.4
59117,20251226160400,33.5,1020.7,64,72,8.8,1.4,10092.8
59271,20251226160400,26.0,1010.5,65,102,2.7,1.4,10033.8
59278,20251226160400,3.7,1008.2,67,307,11.1,0.1,10045.6
59280,20251226160400,7.5,1001.4,96,209,2.0,0.8,10337.5
59287,20251226160400,29.0,1008.6,98,275,12.3,0.3,10412.6
59289,20251226160400,1.3,1001.2,95,293,12.0,0.4,10432.2
59293,20251226160400,14.9,1003.8,24,186,6.2,0.9,10256.7
59294,20251226160400,17.3,1001.3,19,230,8.0,1.2,10268.1
59298,20251226160400,25.0,1009.3,15,223,4.9,0.9,10273.0
59303,20251226160400,27.5,1024.0,56,150,8.0,1.4,10173.1
59304,20251226160400,0.0,1007.8,71,249,14.6,0.3,10241.9
59306,20251226160400,25.8,1003.7,83,44,2.5,0.5,10466.9
59310,20251226160400,30.5,1017.0,77,18,11.8,1.0,10027.4
59316,20251226160400,2.0,1010.4,71,175,12.9,1.0,10407.5
59317,20251226160400,6.1,1006.1,49,161,2.4,0.1,10188.1
59324,20251226160400,2.2,1022.8,22,160,8.5,0.5,10027.9
59456,20251226160400,11.1,1021.6,94,328,3.4,0.1,10106.4
59462,20251226160400,0.2,1004.4,5,102,14.8,1.5,10383.3
59478,20251226160400,8.0,1016.6,66,283,14.9,1.2,10305.8
59485,20251226160400,2.3,1000.0,67,305,11.4,1.3,10220.3
59488,20251226160400,14.9,1019.2,21,332,12.1,0.5,10062.0
59493,20251226160400,5.5,1018.6,50,307,13.6,0.3,10356.1
59501,20251226160400,13.6,1015.4,9,238,7.7,1.0,10115.8
59658,20251226160400,32.8,1003.6,30,31,7.8,0.6,10118.3
59663,20251226160400,34.2,1019.7,100,354,9.0,0.7,10463.5
59664,20251226160400,6.1,1018.8,68,276,2.7,0.3,10188.3
59673,20251226160400,26.5,1005.8,21,221,14.4,0.1,10093.8
59754,20251226160400,7.3,1022.0,49,71,9.6,0.5,10151.3
57947,20251226160400,17.7,1016.3,51,149,5.1,0.7,10022.8
57957,20251226160400,19.1,1009.5,24,224,2.5,0.9,10317.0
57958,20251226160400,25.2,1016.9,1,267,12.4,0.5,10033.4
59021,20251226160400,7.0,1001.0,68,173,9.5,1.1,10398.8
59023,20251226160400,14.4,1000.1,56,291,3.1,0.8,10423.0
59027,20251226160400,28.2,1000.8,15,215,4.3,1.4,10293.8
59037,20251226160400,1.8,1019.5,13,353,8.0,0.7,10318.8
59046,20251226160400,0.6,1008.6,44,97,2.6,0.2,10346.8
59058,20251226160400,17.1,1012.6,57,335,12.7,1.3,10222.0
59065,20251226160400,21.1,1005.9,12,315,11.2,1.1,10133.5
59209,20251226160400,10.7,1004.7,57,87,8.2,0.6,10001.1
59211,20251226160400,31.2,1007.8,75,171,0.9,1.0,10448.6
59218,20251226160400,3.5,1020.2,10,358,10.8,0.5,10464.3
59228,20251226160400,18.8,1025.0,15,49,2.9,0.3,10469.0
59242,20251226160400,34.3,1000.1,62,100,1.3,0.2,10381.1
59254,20251226160400,9.8,1000.9,81,332,12.9,0.1,10267.2
59265,20251226160400,3.8,1014.1,16,345,4.8,1.4,10010.9
59417,20251226160400,25.9,1023.9,82,347,9.6,0.6,10473.5
59431,20251226160400,17.5,1008.1,14,190,0.8,0.8,10020.9
59446,20251226160400,22.3,1018.4,47,71,10.8,0.2,10308.0
59453,20251226160400,3.9,1005.8,81,277,3.4,1.5,10180.8
59626,20251226160400,3.5,1008.8,86,74,14.4,0.3,10456.2
59631,20251226160400,24.1,1025.5,79,238,4.6,0.1,10256.2
59632,20251226160400,10.6,1005.9,41,82,13.3,1.3,10459.4
59644,20251226160400,14.3,1008.6,19,132,14.4,0.1,10123.5
59647,20251226160400,23.1,1003.2,46,216,1.7,0.5,10103.1
56691,20251226160400,16.1,1001.1,24,124,8.1,0.8,10113.4
56693,20251226160400,32.9,1007.3,42,38,13.5,0.7,10430.5
56792,20251226160400,22.0,1019.4,7,156,8.0,1.5,10196.5
56793,20251226160400,7.7,1007.0,98,208,9.4,0.9,10391.3
57606,20251226160400,1.1,1002.9,4,114,9.0,0.9,10006.8
57614,20251226160400,27.3,1015.9,15,35,12.4,1.0,10108.5
57625,20251226160400,5.9,1008.2,2,332,3.6,1.0,10419.0
57647,20251226160400,16.9,1006.8,55,266,14.3,0.2,10260.7
57707,20251226160400,13.7,1016.0,21,190,12.6,1.2,10067.1
57710,20251226160400,6.7,1015.4,45,312,14.8,1.0,10138.0
57712,20251226160400,32.2,1022.2,51,134,12.9,1.3,10036.7
57718,20251226160400,11.8,1011.6,9,87,11.9,1.0,10431.3
57722,20251226160400,26.5,1005.2,53,124,1.9,1.3,10271.2
57729,20251226160400,34.5,1002.4,86,84,9.8,1.2,10100.7
57731,20251226160400,19.8,1026.2,14,300,13.4,1.3,10469.5
57741,20251226160400,11.5,1015.1,81,323,2.2,0.6,10096.2
57803,20251226160400,19.4,1006.7,63,111,8.6,1.4,10078.4
57805,20251226160400,0.7,1000.0,63,242,5.4,1.0,10206.8
57806,20251226160400,30.4,1026.2,0,142,9.4,1.2,10081.6
57816,20251226160400,22.8,1016.6,14,326,6.0,0.2,10474.2
57825,20251226160400,13.4,1003.3,17,178,5.5,1.5,10359.9
57827,20251226160400,19.3,1010.9,48,110,7.1,1.1,10456.6
57832,20251226160400,12.8,1020.2,81,104,2.4,0.4,10215.2
57839,20251226160400,7.1,1000.4,62,151,8.8,1.5,10096.9
57840,20251226160400,4.8,1007.3,41,132,0.2,1.1,10488.1
57902,20251226160400,30.9,1003.7,30,3,9.8,0.5,10018.6
57906,20251226160400,27.0,1004.1,53,280,12.3,1.0,10182.1
57907,20251226160400,34.9,1005.4,49,220,13.9,0.9,10296.1
57910,20251226160400,2.7,1019.5,48,15,3.8,0.8,10212.4
57912,20251226160400,29.2,1021.0,32,112,12.8,0.3,10329.3
57916,20251226160400,12.6,1009.8,13,208,2.9,1.5,10429.0
57922,20251226160400,10.4,1002.3,91,36,0.8,0.0,10423.8
57926,20251226160400,29.7,1001.8,54,224,13.5,1.4,10056.7
57932,20251226160400,12.3,1025.1,77,26,11.2,1.3,10290.2
59758,20251226160400,4.2,1007.3,71,150,4.6,0.9,10496.1
59838,20251226160400,2.8,1010.1,62,234,8.2,0.8,10091.5
59845,20251226160400,9.0,1011.9,67,49,11.9,0.3,10085.3
59849,20251226160400,30.4,1019.2,89,67,7.4,1.0,10278.2
59855,20251226160400,13.8,1010.4,3,162,1.7,1.2,10139.8
59948,20251226160400,31.6,1022.1,49,274,0.2,1.5,10443.0
59954,20251226160400,13.4,1002.8,66,226,2.2,0.2,10005.0
59981,20251226160400,24.1,1015.3,31,297,6.3,0.4,10400.7
53399,20251226160400,18.9,1023.2,97,209,8.6,0.2,10181.1
53593,20251226160400,20.4,1017.9,91,182,12.0,0.3,10007.0
53698,20251226160400,12.5,1012.1,11,259,3.9,1.5,10184.3
53798,20251226160400,11.4,1018.3,93,157,2.9,0.6,10014.9
54308,20251226160400,34.2,1003.6,20,221,11.3,0.6,10327.4
54311,20251226160400,30.0,1013.1,13,326,8.1,1.2,10207.4
54401,20251226160400,30.3,1023.2,45,278,11.3,0.0,10066.2
54405,20251226160400,10.5,1002.3,12,109,3.1,0.9,10385.7
54423,20251226160400,16.0,1023.3,49,294,11.0,1.3,10277.7
54429,20251226160400,17.5,1022.0,65,227,11.6,1.0,10134.3
54436,20251226160400,34.9,1011.4,61,15,8.8,0.9,10220.2
54449,20251226160400,15.2,1021.0,37,107,8.0,1.5,10344.8
54518,20251226160400,21.3,1006.3,48,284,6.6,0.4,10288.6
54534,20251226160400,22.8,1017.3,12,54,2.5,1.5,10228.2
54535,20251226160400,4.4,1012.8,52,293,14.9,0.8,10295.7
54539,20251226160400,13.7,1010.3,6,79,6.0,0.1,10159.7
54602,20251226160400,19.0,1015.1,13,33,6.4,0.5,10465.3
54606,20251226160400,23.0,1019.6,34,149,12.6,1.4,10482.9
54618,20251226160400,5.2,1004.5,46,106,8.3,1.5,10181.0
54624,20251226160400,33.2,1023.5,6,200,5.0,1.4,10245.8
54705,20251226160400,16.0,1013.6,64,212,11.2,1.2,10194.7
53898,20251226160400,12.6,1011.1,86,37,14.4,0.3,10359.2
53986,20251226160400,17.1,1001.4,78,205,7.4,0.1,10198.2
57051,20251226160400,20.8,1011.7,39,22,9.9,1.0,10110.1
57067,20251226160400,20.1,1012.2,41,161,12.4,0.0,10169.1
57071,20251226160400,3.6,1006.1,51,315,10.0,0.5,10147.2
57077,20251226160400,9.6,1025.5,52,229,13.9,1.5,10458.6
57083,20251226160400,26.6,1016.6,32,334,5.5,0.8,10362.3
57084,20251226160400,25.6,1003.4,100,77,6.9,0.9,10285.1
57089,20251226160400,29.5,1014.5,18,323,7.3,1.4,10117.8
57091,20251226160400,17.5,1001.9,17,244,3.2,0.0,10021.5
57156,20251226160400,7.1,1008.6,39,69,4.8,0.5,10289.3
57178,20251226160400,5.3,1011.0,37,100,12.2,0.3,10380.8
57181,20251226160400,14.1,1008.2,58,166,11.9,1.1,10045.0
57193,20251226160400,24.4,1008.6,77,110,10.1,0.6,10014.7
57285,20251226160400,3.3,1021.4,56,206,5.0,1.5,10213.9
57290,20251226160400,10.0,1010.5,1,336,2.2,1.5,10402.8
57297,20251226160400,34.4,1015.0,23,357,3.2,1.3,10045.1
58005,20251226160400,0.3,1002.1,27,238,8.4,1.3,10254.8
58111,20251226160400,13.5,1014.9,96,280,7.0,0.9,10407.0
58208,20251226160400,22.1,1018.5,2,23,7.2,1.0,10316.4
50136,20251226160400,29.4,1012.6,33,299,9.6,0.1,10048.2
50246,20251226160400,8.1,1021.9,43,294,1.7,0.1,10350.9
50247,20251226160400,25.2,1002.6,59,9,7.5,1.4,10213.0
50349,20251226160400,14.8,1002.3,4,349,11.5,1.2,10277.6
50353,20251226160400,13.7,1003.0,19,311,14.8,0.7,10242.5
50442,20251226160400,34.7,1000.4,23,328,7.9,1.5,10373.7
50468,20251226160400,34.8,1010.2,54,280,11.8,1.1,10337.4
50557,20251226160400,19.3,1007.8,67,331,10.6,1.3,10155.7
50564,20251226160400,22.1,1023.2,75,250,7.9,0.1,10104.4
50656,20251226160400,17.8,1020.7,39,165,12.7,0.7,10007.7
50658,20251226160400,10.8,1008.6,39,166,7.0,1.4,10421.0
50674,20251226160400,33.8,1012.8,66,43,0.8,0.5,10471.9
50739,20251226160400,16.4,1024.7,45,57,1.9,0.4,10241.6
50742,20251226160400,24.8,1008.0,91,18,10.0,0.0,10492.1
50745,20251226160400,7.7,1003.4,78,335,3.7,0.8,10179.5
50756,20251226160400,15.7,1017.1,70,55,13.6,1.3,10422.1
50758,20251226160400,29.4,1005.5,52,10,1.2,0.1,10237.8
50774,20251226160400,18.1,1008.8,86,242,3.5,1.1,10081.5
50778,20251226160400,13.5,1023.8,58,264,11.5,0.8,10370.8
50788,20251226160400,20.2,1013.7,39,20,7.1,0.9,10196.9
50844,20251226160400,0.7,1023.2,77,292,6.7,0.0,10174.5
50853,20251226160400,13.2,1000.9,92,125,9.2,0.8,10322.0
50854,20251226160400,32.9,1002.9,29,157,4.5,0.8,10163.3
50862,20251226160400,26.0,1002.6,6,154,7.1,0.2,10412.6
50873,20251226160400,14.2,1006.8,81,319,14.0,0.8,10046.2
50877,20251226160400,5.8,1017.9,69,2,6.3,1.2,10289.0
50888,20251226160400,25.7,1016.0,33,86,4.2,1.1,10039.4
50950,20251226160400,13.7,1001.0,37,209,5.3,1.4,10415.2
50953,20251226160400,32.6,1006.6,44,348,13.9,0.4,10110.4
50955,20251226160400,3.0,1002.8,65,210,11.7,0.9,10076.7
50963,20251226160400,33.0,1006.6,59,267,11.4,1.0,10464.8
50968,20251226160400,30.8,1014.0,98,17,6.0,0.6,10392.2
50973,20251226160400,26.6,1013.9,81,192,5.0,1.5,10447.4
50978,20251226160400,19.0,1010.4,81,222,12.8,0.0,10302.7
50983,20251226160400,29.7,1011.0,65,110,7.3,0.7,10163.8
54094,20251226160400,23.7,1006.1,23,27,5.1,0.1,10058.7
54096,20251226160400,6.2,1023.9,90,188,14.6,0.4,10326.9
57251,20251226160400,34.6,1014.4,75,48,13.9,0.2,10145.2
57256,20251226160400,11.9,1008.5,75,188,7.5,0.2,10446.5
57259,20251226160400,30.0,1015.0,49,358,14.6,1.5,10105.8
57265,20251226160400,4.7,1015.6,88,339,4.6,1.2,10033.6
57278,20251226160400,14.4,1005.2,71,140,14.4,0.5,10108.1
57279,20251226160400,23.3,1009.9,28,114,14.1,1.0,10436.7
57355,20251226160400,6.8,1000.5,38,228,10.0,1.3,10192.5
57358,20251226160400,29.6,1023.1,16,294,10.3,0.2,10443.2
57359,20251226160400,20.1,1008.3,96,265,4.1,0.5,10089.8
57363,20251226160400,3.5,1016.6,68,190,7.2,0.6,10031.3
57378,20251226160400,21.3,1016.0,5,181,12.0,1.5,10409.1
57381,20251226160400,17.3,1000.7,3,189,7.1,0.0,10298.0
57395,20251226160400,32.6,1015.6,34,187,9.5,1.4,10389.7
57399,20251226160400,8.8,1007.4,2,155,3.7,0.4,10012.7
57439,20251226160400,1.0,1024.3,98,285,13.0,1.5,10275.0
57445,20251226160400,5.2,1003.8,45,65,10.5,0.1,10063.6
57447,20251226160400,32.6,1022.1,7,162,6.4,1.5,10197.6
57458,20251226160400,0.9,1009.5,86,309,13.6,1.1,10105.0
57461,20251226160400,12.4,1007.7,4,246,5.5,1.0,10194.7
57476,20251226160400,13.7,1025.3,38,209,1.1,1.1,10274.4
57482,20251226160400,6.8,1021.9,68,105,2.5,1.2,10036.0
57483,20251226160400,8.9,1006.7,97,241,1.7,0.2,10316.1
57493,20251226160400,30.4,1022.1,55,320,7.0,0.0,10298.1
57494,20251226160400,22.7,1006.1,57,264,7.1,0.0,10418.2
57545,20251226160400,33.2,1000.4,93,10,2.8,0.7,10031.7
57573,20251226160400,30.3,1024.6,59,83,2.3,0.8,10209.8
57581,20251226160400,34.1,1003.8,46,67,3.2,0.9,10430.2
57583,20251226160400,15.2,1000.7,50,122,13.3,0.2,10135.2
57595,20251226160400,10.4,1018.9,75,8,10.4,0.9,10093.4
58402,20251226160400,8.2,1018.0,48,238,7.4,0.5,10039.7
58407,20251226160400,4.7,1020.0,38,340,3.3,1.5,10331.5
58500,20251226160400,11.7,1007.2,78,340,4.1,1.1,10050.7
57554,20251226160400,27.4,1023.0,30,130,11.6,0.5,10401.7
57562,20251226160400,22.0,1021.0,70,165,4.3,1.0,10269.3
57574,20251226160400,26.7,1018.5,97,206,10.2,0.9,10398.6
57584,20251226160400,8.8,1016.3,21,155,14.5,1.3,10150.7
57642,20251226160400,28.6,1015.7,91,172,7.2,0.6,10325.7
57649,20251226160400,8.9,1006.9,21,341,12.1,1.3,10472.2
57655,20251226160400,31.4,1020.8,55,3,11.1,0.9,10379.5
57662,20251226160400,31.3,1007.2,45,191,9.1,0.7,10083.7
57669,20251226160400,28.8,1002.1,81,17,10.9,0.8,10056.7
57671,20251226160400,3.3,1004.7,30,234,9.3,0.4,10259.6
57673,20251226160400,6.4,1020.1,50,259,14.5,0.8,10008.0
57679,20251226160400,10.6,1025.0,94,251,7.0,1.3,10445.2
57682,20251226160400,21.1,1004.2,89,171,6.3,0.8,10352.7
57687,20251226160400,27.4,1000.7,32,338,4.6,0.6,10044.1
57745,20251226160400,18.9,1005.0,30,354,7.2,1.5,10138.2
57749,20251226160400,6.9,1019.8,82,45,12.0,0.4,10372.5
57752,20251226160400,4.0,1009.0,96,43,13.2,0.9,10210.5
57758,20251226160400,19.8,1019.0,75,14,7.4,1.3,10145.3
57761,20251226160400,32.1,1016.2,99,192,6.0,0.9,10286.0
57766,20251226160400,13.4,1012.0,59,63,12.5,0.3,10191.8
57774,20251226160400,14.6,1007.5,63,68,12.2,0.0,10023.2
57776,20251226160400,30.7,1006.9,86,15,14.1,1.0,10192.2
57779,20251226160400,16.6,1015.6,18,7,14.5,1.1,10356.8
57780,20251226160400,25.5,1021.4,70,179,14.7,0.1,10247.2
57841,20251226160400,12.2,1003.0,65,180,0.7,0.3,10363.0
57845,20251226160400,13.2,1024.5,12,99,11.6,0.0,10476.2
57853,20251226160400,15.8,1008.4,19,174,7.0,1.3,10465.1
57857,20251226160400,6.6,1005.4,50,23,0.1,0.6,10019.5
57860,20251226160400,9.8,1000.6,88,270,13.8,0.4,10469.9
57866,20251226160400,4.8,1023.9,83,140,9.6,1.3,10438.8
57872,20251226160400,31.2,1004.5,48,110,8.9,0.8,10146.0
57874,20251226160400,1.2,1022.6,58,120,11.0,0.6,10470.7
57889,20251226160400,26.3,1006.4,28,221,6.2,0.8,10007.0
57965,20251226160400,0.1,1001.1,85,9,10.7,1.1,10073.8
57972,20251226160400,0.5,1007.4,59,227,9.1,0.5,10444.8
57974,20251226160400,23.2,1021.9,32,54,14.5,0.0,10190.9
50936,20251226160400,15.8,1022.1,72,21,12.0,0.8,10478.6
50945,20251226160400,28.3,1014.6,64,16,0.4,0.6,10406.4
50948,20251226160400,16.1,1003.2,98,36,1.1,1.0,10136.6
50949,20251226160400,25.2,1004.7,64,146,9.6,0.8,10430.0
54041,20251226160400,29.4,1021.4,1,354,12.2,1.3,10224.2
54049,20251226160400,14.3,1002.8,61,96,3.6,0.1,10238.7
54063,20251226160400,14.1,1015.6,24,234,5.8,0.7,10462.8
54064,20251226160400,32.1,1008.9,54,335,7.6,0.1,10137.9
54142,20251226160400,17.2,1009.2,85,188,0.2,1.0,10257.9
54157,20251226160400,32.6,1019.5,99,209,10.0,0.0,10065.4
54161,20251226160400,33.6,1008.3,9,207,3.1,1.0,10116.6
54165,20251226160400,14.2,1024.1,21,83,2.0,0.8,10440.7
54171,20251226160400,24.8,1012.1,11,103,5.0,0.8,10136.2
54181,20251226160400,15.4,1013.1,26,221,5.8,0.8,10279.4
54186,20251226160400,5.8,1011.2,54,77,13.2,0.9,10048.0
54195,20251226160400,26.4,1001.4,45,246,0.7,0.7,10420.3
54260,20251226160400,28.0,1012.8,94,138,13.6,0.9,10469.0
54263,20251226160400,3.7,1017.2,93,351,12.4,1.5,10410.1
54266,20251226160400,28.2,1000.9,78,71,1.1,1.1,10023.9
54273,20251226160400,29.4,1021.1,95,270,6.2,0.7,10198.6
54276,20251226160400,2.2,1013.6,43,134,13.2,1.0,10088.8
54284,20251226160400,31.8,1008.9,41,57,8.7,1.5,10008.0
54285,20251226160400,1.1,1010.4,21,55,7.5,0.0,10411.6
54286,20251226160400,13.6,1006.7,81,102,1.6,1.1,10445.2
54292,20251226160400,33.0,1013.4,100,222,12.0,1.4,10165.3
54363,20251226160400,25.2,1018.2,90,93,12.1,0.7,10320.5
54374,20251226160400,31.0,1021.9,91,81,6.0,1.3,10489.2
54377,20251226160400,23.5,1023.0,96,93,14.5,0.2,10376.6
54386,20251226160400,31.3,1002.6,60,73,5.7,0.9,10038.1
58026,20251226160400,27.7,1006.4,76,62,6.3,0.1,10310.8
58027,20251226160400,33.4,1000.7,71,227,4.6,0.1,10092.7
58038,20251226160400,15.8,1000.5,47,75,5.5,0.5,10240.7
58040,20251226160400,25.2,1006.1,78,165,11.4,1.3,10466.1
58047,20251226160400,2.1,1011.1,27,130,14.7,1.1,10433.6
58130,20251226160400,6.0,1005.9,23,327,0.1,1.3,10345.8
58135,20251226160400,20.0,1011.5,2,198,5.0,1.2,10465.4
58138,20251226160400,25.7,1017.1,83,20,8.4,0.0,10230.9
58141,20251226160400,9.8,1012.9,88,31,11.6,1.5,10329.6
58143,20251226160400,26.5,1005.8,66,286,8.4,0.5,10406.9
58150,20251226160400,18.5,1002.7,76,185,4.2,1.3,10061.9
58158,20251226160400,19.4,1004.2,5,92,3.8,0.5,10444.2
58238,20251226160400,2.2,1006.4,10,342,0.8,0.2,10473.8
58241,20251226160400,27.4,1015.8,47,80,13.8,0.1,10261.1
58251,20251226160400,22.4,1023.4,97,330,10.9,0.2,10022.2
58252,20251226160400,15.3,1006.8,28,318,8.3,0.5,10415.8
58255,20251226160400,2.1,1023.0,24,326,9.9,0.3,10050.0
58259,20251226160400,15.8,1008.0,39,104,11.1,0.1,10140.0
58265,20251226160400,30.1,1025.1,87,336,8.2,0.1,10190.5
58343,20251226160400,24.1,1014.9,85,155,4.5,0.9,10001.2
58345,20251226160400,22.8,1000.2,32,151,9.5,0.5,10423.3
58354,20251226160400,14.4,1011.0,9,234,10.6,1.2,10348.1
58356,20251226160400,16.7,1018.8,81,8,12.1,1.0,10286.5
58358,20251226160400,25.3,1003.5,53,297,0.7,0.8,10134.0
57598,20251226160400,20.2,1020.7,6,262,11.9,0.0,10170.0
57696,20251226160400,26.6,1012.9,0,33,2.1,1.3,10106.0
57789,20251226160400,2.9,1012.3,13,208,9.6,0.2,10106.6
57793,20251226160400,21.7,1025.3,51,52,0.3,0.4,10012.1
57799,20251226160400,6.0,1022.8,68,264,6.5,1.4,10104.8
57894,20251226160400,28.6,1009.8,44,53,13.9,0.7,10211.5
57896,20251226160400,6.3,1026.3,2,212,10.1,0.0,10117.1
57993,20251226160400,34.9,1014.5,56,136,12.8,1.5,10123.2
58506,20251226160400,33.1,1025.0,19,284,9.3,0.3,10085.4
